pair_id,c_type,n_pairs,v_type,V1_class,V1_lemma,NP1,NP2,NP2_anim,V2,ungram_source,alignment,grammatical,ungrammatical,crit_tokens,exclude,exclude_reason
3np_t1_024_C,1,3,C,perception,zien,Marie,de man,animate,laten,selectional_restriction,true,Ik weet dat Marie de man de boot ziet laten bewegen.,Ik weet dat de boot de man Marie bewegen laten ziet.,"[""Marie"", ""de man"", ""de boot"", ""ziet"", ""laten"", ""bewegen""]",,
3np_t1_024_D1,1,3,D1,perception,zien,Marie,de man,animate,laten,verb_order_partial,false,Ik weet dat Marie de man de boot ziet laten bewegen.,Ik weet dat Marie de man de boot ziet bewegen laten.,"[""laten"", ""bewegen""]",,
3np_t1_024_D2,1,3,D2,perception,zien,Marie,de man,animate,laten,verb_order_partial,false,Ik weet dat Marie de man de boot ziet laten bewegen.,Ik weet dat Marie de man de boot laten ziet bewegen.,"[""ziet"", ""laten""]",,
3np_t1_025_A,1,3,A,perception,zien,de danser,Jan,animate,laten,verb_order,false,Ik denk dat de danser Jan de trein ziet laten vertrekken.,Ik denk dat de danser Jan de trein vertrekken laten ziet.,"[""ziet"", ""laten"", ""vertrekken""]",,
3np_t1_025_B,1,3,B,perception,zien,de danser,Jan,animate,laten,selectional_restriction,false,Ik denk dat de danser Jan de trein ziet laten vertrekken.,Ik denk dat de trein Jan de danser ziet laten vertrekken.,"[""de danser"", ""Jan"", ""de trein""]",,
3np_t1_025_C,1,3,C,perception,zien,de danser,Jan,animate,laten,selectional_restriction,true,Ik denk dat de danser Jan de trein ziet laten vertrekken.,Ik denk dat de trein Jan de danser vertrekken laten ziet.,"[""de danser"", ""Jan"", ""de trein"", ""ziet"", ""laten"", ""vertrekken""]",,
3np_t1_025_D1,1,3,D1,perception,zien,de danser,Jan,animate,laten,verb_order_partial,false,Ik denk dat de danser Jan de trein ziet laten vertrekken.,Ik denk dat de danser Jan de trein ziet vertrekken laten.,"[""laten"", ""vertrekken""]",,
3np_t1_025_D2,1,3,D2,perception,zien,de danser,Jan,animate,laten,verb_order_partial,false,Ik denk dat de danser Jan de trein ziet laten vertrekken.,Ik denk dat de danser Jan de trein laten ziet vertrekken.,"[""ziet"", ""laten""]",,
3np_t1_026_A,1,3,A,perception,zien,de studenten,Jan,animate,laten,verb_order,false,We zien dat de studenten Jan de fiets zien laten stilstaan.,We zien dat de studenten Jan de fiets stilstaan laten zien.,"[""zien"", ""laten"", ""stilstaan""]",,
3np_t1_026_B,1,3,B,perception,zien,de studenten,Jan,animate,laten,selectional_restriction,false,We zien dat de studenten Jan de fiets zien laten stilstaan.,We zien dat de fiets Jan de studenten zien laten stilstaan.,"[""de studenten"", ""Jan"", ""de fiets""]",,
3np_t1_026_C,1,3,C,perception,zien,de studenten,Jan,animate,laten,selectional_restriction,true,We zien dat de studenten Jan de fiets zien laten stilstaan.,We zien dat de fiets Jan de studenten stilstaan laten zien.,"[""de studenten"", ""Jan"", ""de fiets"", ""zien"", ""laten"", ""stilstaan""]",,
3np_t1_026_D1,1,3,D1,perception,zien,de studenten,Jan,animate,laten,verb_order_partial,false,We zien dat de studenten Jan de fiets zien laten stilstaan.,We zien dat de studenten Jan de fiets zien stilstaan laten.,"[""laten"", ""stilstaan""]",,
3np_t1_026_D2,1,3,D2,perception,zien,de studenten,Jan,animate,laten,verb_order_partial,false,We zien dat de studenten Jan de fiets zien laten stilstaan.,We zien dat de studenten Jan de fiets laten zien stilstaan.,"[""zien"", ""laten""]",,
3np_t1_027_A,1,3,A,perception,zien,Marie,de vrouw,animate,laten,verb_order,false,Hij weet dat Marie de vrouw Jan ziet laten dansen.,Hij weet dat Marie de vrouw Jan dansen laten ziet.,"[""ziet"", ""laten"", ""dansen""]",,
3np_t1_027_D1,1,3,D1,perception,zien,Marie,de vrouw,animate,laten,verb_order_partial,false,Hij weet dat Marie de vrouw Jan ziet laten dansen.,Hij weet dat Marie de vrouw Jan ziet dansen laten.,"[""laten"", ""dansen""]",,
3np_t1_027_D2,1,3,D2,perception,zien,Marie,de vrouw,animate,laten,verb_order_partial,false,Hij weet dat Marie de vrouw Jan ziet laten dansen.,Hij weet dat Marie de vrouw Jan laten ziet dansen.,"[""ziet"", ""laten""]",,
3np_t1_028_A,1,3,A,causative,laten,de ouders,Piet,animate,zien,verb_order,false,Ze begrijpen dat de ouders Piet de vrouw laten zien spelen.,Ze begrijpen dat de ouders Piet de vrouw spelen zien laten.,"[""laten"", ""zien"", ""spelen""]",,
3np_t1_028_B,1,3,B,causative,laten,de ouders,Piet,animate,zien,agreement_violation,false,Ze begrijpen dat de ouders Piet de vrouw laten zien spelen.,Ze begrijpen dat de vrouw Piet de ouders laten zien spelen.,"[""de ouders"", ""Piet"", ""de vrouw""]",,
3np_t1_028_C,1,3,C,causative,laten,de ouders,Piet,animate,zien,agreement_violation,true,Ze begrijpen dat de ouders Piet de vrouw laten zien spelen.,Ze begrijpen dat de vrouw Piet de ouders spelen zien laten.,"[""de ouders"", ""Piet"", ""de vrouw"", ""laten"", ""zien"", ""spelen""]",,
3np_t1_028_D1,1,3,D1,causative,laten,de ouders,Piet,animate,zien,verb_order_partial,false,Ze begrijpen dat de ouders Piet de vrouw laten zien spelen.,Ze begrijpen dat de ouders Piet de vrouw laten spelen zien.,"[""zien"", ""spelen""]",,
3np_t1_028_D2,1,3,D2,causative,laten,de ouders,Piet,animate,zien,verb_order_partial,false,Ze begrijpen dat de ouders Piet de vrouw laten zien spelen.,Ze begrijpen dat de ouders Piet de vrouw zien laten spelen.,"[""laten"", ""zien""]",,
3np_t1_029_A,1,3,A,perception,horen,Piet,de man,animate,laten,verb_order,false,Hij verwacht dat Piet de man de scooter hoort laten stoppen.,Hij verwacht dat Piet de man de scooter stoppen laten hoort.,"[""hoort"", ""laten"", ""stoppen""]",,
3np_t1_029_B,1,3,B,perception,horen,Piet,de man,animate,laten,selectional_restriction,false,Hij verwacht dat Piet de man de scooter hoort laten stoppen.,Hij verwacht dat de scooter de man Piet hoort laten stoppen.,"[""Piet"", ""de man"", ""de scooter""]",,
3np_t1_029_C,1,3,C,perception,horen,Piet,de man,animate,laten,selectional_restriction,true,Hij verwacht dat Piet de man de scooter hoort laten stoppen.,Hij verwacht dat de scooter de man Piet stoppen laten hoort.,"[""Piet"", ""de man"", ""de scooter"", ""hoort"", ""laten"", ""stoppen""]",,
3np_t1_029_D1,1,3,D1,perception,horen,Piet,de man,animate,laten,verb_order_partial,false,Hij verwacht dat Piet de man de scooter hoort laten stoppen.,Hij verwacht dat Piet de man de scooter hoort stoppen laten.,"[""laten"", ""stoppen""]",,
3np_t1_029_D2,1,3,D2,perception,horen,Piet,de man,animate,laten,verb_order_partial,false,Hij verwacht dat Piet de man de scooter hoort laten stoppen.,Hij verwacht dat Piet de man de scooter laten hoort stoppen.,"[""hoort"", ""laten""]",,
3np_t1_030_A,1,3,A,causative,laten,de vader,Marie,animate,horen,verb_order,false,Hij weet dat de vader Marie de scooter laat horen vertrekken.,Hij weet dat de vader Marie de scooter vertrekken horen laat.,"[""laat"", ""horen"", ""vertrekken""]",,
3np_t1_030_B,1,3,B,causative,laten,de vader,Marie,animate,horen,selectional_restriction,false,Hij weet dat de vader Marie de scooter laat horen vertrekken.,Hij weet dat de scooter Marie de vader laat horen vertrekken.,"[""de vader"", ""Marie"", ""de scooter""]",,
3np_t1_030_C,1,3,C,causative,laten,de vader,Marie,animate,horen,selectional_restriction,true,Hij weet dat de vader Marie de scooter laat horen vertrekken.,Hij weet dat de scooter Marie de vader vertrekken horen laat.,"[""de vader"", ""Marie"", ""de scooter"", ""laat"", ""horen"", ""vertrekken""]",,
3np_t1_030_D1,1,3,D1,causative,laten,de vader,Marie,animate,horen,verb_order_partial,false,Hij weet dat de vader Marie de scooter laat horen vertrekken.,Hij weet dat de vader Marie de scooter laat vertrekken horen.,"[""horen"", ""vertrekken""]",,
3np_t1_030_D2,1,3,D2,causative,laten,de vader,Marie,animate,horen,verb_order_partial,false,Hij weet dat de vader Marie de scooter laat horen vertrekken.,Hij weet dat de vader Marie de scooter horen laat vertrekken.,"[""laat"", ""horen""]",,
3np_t1_031_A,1,3,A,causative,laten,de dokter,Marie,animate,zien,verb_order,false,Hij verwacht dat de dokter Marie de studenten laat zien dansen.,Hij verwacht dat de dokter Marie de studenten dansen zien laat.,"[""laat"", ""zien"", ""dansen""]",,
3np_t1_031_B,1,3,B,causative,laten,de dokter,Marie,animate,zien,agreement_violation,false,Hij verwacht dat de dokter Marie de studenten laat zien dansen.,Hij verwacht dat de studenten Marie de dokter laat zien dansen.,"[""de dokter"", ""Marie"", ""de studenten""]",,
3np_t1_031_C,1,3,C,causative,laten,de dokter,Marie,animate,zien,agreement_violation,true,Hij verwacht dat de dokter Marie de studenten laat zien dansen.,Hij verwacht dat de studenten Marie de dokter dansen zien laat.,"[""de dokter"", ""Marie"", ""de studenten"", ""laat"", ""zien"", ""dansen""]",,
3np_t1_031_D1,1,3,D1,causative,laten,de dokter,Marie,animate,zien,verb_order_partial,false,Hij verwacht dat de dokter Marie de studenten laat zien dansen.,Hij verwacht dat de dokter Marie de studenten laat dansen zien.,"[""zien"", ""dansen""]",,
3np_t1_031_D2,1,3,D2,causative,laten,de dokter,Marie,animate,zien,verb_order_partial,false,Hij verwacht dat de dokter Marie de studenten laat zien dansen.,Hij verwacht dat de dokter Marie de studenten zien laat dansen.,"[""laat"", ""zien""]",,
3np_t1_032_A,1,3,A,causative,laten,Marie,de vrouw,animate,zien,verb_order,false,Ik merk dat Marie de vrouw de ouders laat zien spelen.,Ik merk dat Marie de vrouw de ouders spelen zien laat.,"[""laat"", ""zien"", ""spelen""]",,
3np_t1_032_B,1,3,B,causative,laten,Marie,de vrouw,animate,zien,agreement_violation,false,Ik merk dat Marie de vrouw de ouders laat zien spelen.,Ik merk dat de ouders de vrouw Marie laat zien spelen.,"[""Marie"", ""de vrouw"", ""de ouders""]",,
3np_t1_032_C,1,3,C,causative,laten,Marie,de vrouw,animate,zien,agreement_violation,true,Ik merk dat Marie de vrouw de ouders laat zien spelen.,Ik merk dat de ouders de vrouw Marie spelen zien laat.,"[""Marie"", ""de vrouw"", ""de ouders"", ""laat"", ""zien"", ""spelen""]",,
3np_t1_032_D1,1,3,D1,causative,laten,Marie,de vrouw,animate,zien,verb_order_partial,false,Ik merk dat Marie de vrouw de ouders laat zien spelen.,Ik merk dat Marie de vrouw de ouders laat spelen zien.,"[""zien"", ""spelen""]",,
3np_t1_032_D2,1,3,D2,causative,laten,Marie,de vrouw,animate,zien,verb_order_partial,false,Ik merk dat Marie de vrouw de ouders laat zien spelen.,Ik merk dat Marie de vrouw de ouders zien laat spelen.,"[""laat"", ""zien""]",,
3np_t1_033_A,1,3,A,causative,laten,de rechter,Marie,animate,zien,verb_order,false,Ik merk dat de rechter Marie de kinderen laat zien zingen.,Ik merk dat de rechter Marie de kinderen zingen zien laat.,"[""laat"", ""zien"", ""zingen""]",,
3np_t1_033_B,1,3,B,causative,laten,de rechter,Marie,animate,zien,agreement_violation,false,Ik merk dat de rechter Marie de kinderen laat zien zingen.,Ik merk dat de kinderen Marie de rechter laat zien zingen.,"[""de rechter"", ""Marie"", ""de kinderen""]",,
3np_t1_033_C,1,3,C,causative,laten,de rechter,Marie,animate,zien,agreement_violation,true,Ik merk dat de rechter Marie de kinderen laat zien zingen.,Ik merk dat de kinderen Marie de rechter zingen zien laat.,"[""de rechter"", ""Marie"", ""de kinderen"", ""laat"", ""zien"", ""zingen""]",,
3np_t1_033_D1,1,3,D1,causative,laten,de rechter,Marie,animate,zien,verb_order_partial,false,Ik merk dat de rechter Marie de kinderen laat zien zingen.,Ik merk dat de rechter Marie de kinderen laat zingen zien.,"[""zien"", ""zingen""]",,
3np_t1_033_D2,1,3,D2,causative,laten,de rechter,Marie,animate,zien,verb_order_partial,false,Ik merk dat de rechter Marie de kinderen laat zien zingen.,Ik merk dat de rechter Marie de kinderen zien laat zingen.,"[""laat"", ""zien""]",,
3np_t1_034_A,1,3,A,causative,laten,de dokter,Piet,animate,horen,verb_order,false,Ik weet dat de dokter Piet de vrouw laat horen rennen.,Ik weet dat de dokter Piet de vrouw rennen horen laat.,"[""laat"", ""horen"", ""rennen""]",,
3np_t1_034_D1,1,3,D1,causative,laten,de dokter,Piet,animate,horen,verb_order_partial,false,Ik weet dat de dokter Piet de vrouw laat horen rennen.,Ik weet dat de dokter Piet de vrouw laat rennen horen.,"[""horen"", ""rennen""]",,
3np_t1_034_D2,1,3,D2,causative,laten,de dokter,Piet,animate,horen,verb_order_partial,false,Ik weet dat de dokter Piet de vrouw laat horen rennen.,Ik weet dat de dokter Piet de vrouw horen laat rennen.,"[""laat"", ""horen""]",,
3np_t1_035_A,1,3,A,causative,laten,de studenten,Piet,animate,horen,verb_order,false,We zien dat de studenten Piet de scooter laten horen stoppen.,We zien dat de studenten Piet de scooter stoppen horen laten.,"[""laten"", ""horen"", ""stoppen""]",,
3np_t1_035_B,1,3,B,causative,laten,de studenten,Piet,animate,horen,selectional_restriction,false,We zien dat de studenten Piet de scooter laten horen stoppen.,We zien dat de scooter Piet de studenten laten horen stoppen.,"[""de studenten"", ""Piet"", ""de scooter""]",,
3np_t1_035_C,1,3,C,causative,laten,de studenten,Piet,animate,horen,selectional_restriction,true,We zien dat de studenten Piet de scooter laten horen stoppen.,We zien dat de scooter Piet de studenten stoppen horen laten.,"[""de studenten"", ""Piet"", ""de scooter"", ""laten"", ""horen"", ""stoppen""]",,
3np_t1_035_D1,1,3,D1,causative,laten,de studenten,Piet,animate,horen,verb_order_partial,false,We zien dat de studenten Piet de scooter laten horen stoppen.,We zien dat de studenten Piet de scooter laten stoppen horen.,"[""horen"", ""stoppen""]",,
3np_t1_035_D2,1,3,D2,causative,laten,de studenten,Piet,animate,horen,verb_order_partial,false,We zien dat de studenten Piet de scooter laten horen stoppen.,We zien dat de studenten Piet de scooter horen laten stoppen.,"[""laten"", ""horen""]",,
